treatment,larval_ID,plate,row,column,Parental_cross,Father,Mother,mortality,timepoint,n
Ambient,Ambient_2_A,2,A,1,A1,A,1,0,1,6
Ambient,Ambient_2_B,2,B,1,A1,A,1,0,1,6
Ambient,Ambient_3_A,3,A,1,A1,A,1,0,1,6
Ambient,Ambient_3_B,3,B,1,A1,A,1,0,1,6
Ambient,Ambient_4_A,4,A,1,A1,A,1,0,1,6
Ambient,Ambient_5_A,5,A,1,A1,A,1,0,1,6
Heated,Heated_1_A,1,A,1,A1,A,1,0,1,8
Heated,Heated_1_B,1,B,1,A1,A,1,0,1,8
Heated,Heated_2_A,2,A,1,A1,A,1,0,1,8
Heated,Heated_2_B,2,B,1,A1,A,1,0,1,8
Heated,Heated_3_A,3,A,1,A1,A,1,0,1,8
Heated,Heated_3_B,3,B,1,A1,A,1,0,1,8
Heated,Heated_5_A,5,A,1,A1,A,1,0,1,8
Heated,Heated_5_B,5,B,1,A1,A,1,0,1,8
Ambient,Ambient_2_C,2,C,1,A2,A,2,0,1,6
Ambient,Ambient_2_D,2,D,1,A2,A,2,0,1,6
Ambient,Ambient_3_C,3,C,1,A2,A,2,0,1,6
Ambient,Ambient_3_D,3,D,1,A2,A,2,0,1,6
Ambient,Ambient_4_C,4,C,1,A2,A,2,0,1,6
Ambient,Ambient_5_C,5,C,1,A2,A,2,0,1,6
Heated,Heated_1_C,1,C,1,A2,A,2,0,1,7
Heated,Heated_2_C,2,C,1,A2,A,2,0,1,7
Heated,Heated_2_D,2,D,1,A2,A,2,0,1,7
Heated,Heated_3_C,3,C,1,A2,A,2,0,1,7
Heated,Heated_3_D,3,D,1,A2,A,2,0,1,7
Heated,Heated_5_C,5,C,1,A2,A,2,0,1,7
Heated,Heated_5_D,5,D,1,A2,A,2,0,1,7
Ambient,Ambient_2_E,2,E,1,A3,A,3,0,1,5
Ambient,Ambient_3_E,3,E,1,A3,A,3,0,1,5
Ambient,Ambient_4_F,4,F,1,A3,A,3,0,1,5
Ambient,Ambient_5_E,5,E,1,A3,A,3,0,1,5
Ambient,Ambient_5_F,5,F,1,A3,A,3,0,1,5
Heated,Heated_1_F,1,F,1,A3,A,3,0,1,4
Heated,Heated_2_F,2,F,1,A3,A,3,0,1,4
Heated,Heated_3_F,3,F,1,A3,A,3,0,1,4
Heated,Heated_5_E,5,E,1,A3,A,3,0,1,4
Ambient,Ambient_2_G,2,G,1,A4,A,4,0,1,8
Ambient,Ambient_2_H,2,H,1,A4,A,4,0,1,8
Ambient,Ambient_3_G,3,G,1,A4,A,4,0,1,8
Ambient,Ambient_3_H,3,H,1,A4,A,4,0,1,8
Ambient,Ambient_4_G,4,G,1,A4,A,4,0,1,8
Ambient,Ambient_4_H,4,H,1,A4,A,4,0,1,8
Ambient,Ambient_5_G,5,G,1,A4,A,4,0,1,8
Ambient,Ambient_5_H,5,H,1,A4,A,4,0,1,8
Heated,Heated_1_G,1,G,1,A4,A,4,0,1,8
Heated,Heated_1_H,1,H,1,A4,A,4,0,1,8
Heated,Heated_2_G,2,G,1,A4,A,4,0,1,8
Heated,Heated_2_H,2,H,1,A4,A,4,0,1,8
Heated,Heated_3_G,3,G,1,A4,A,4,0,1,8
Heated,Heated_3_H,3,H,1,A4,A,4,0,1,8
Heated,Heated_5_G,5,G,1,A4,A,4,0,1,8
Heated,Heated_5_H,5,H,1,A4,A,4,0,1,8
Ambient,Ambient_2_A,2,A,2,A5,A,5,0,1,5
Ambient,Ambient_3_A,3,A,2,A5,A,5,0,1,5
Ambient,Ambient_3_B,3,B,2,A5,A,5,0,1,5
Ambient,Ambient_4_A,4,A,2,A5,A,5,0,1,5
Ambient,Ambient_5_A,5,A,2,A5,A,5,0,1,5
Heated,Heated_1_A,1,A,2,A5,A,5,0,1,6
Heated,Heated_1_B,1,B,2,A5,A,5,0,1,6
Heated,Heated_2_A,2,A,2,A5,A,5,0,1,6
Heated,Heated_2_B,2,B,2,A5,A,5,0,1,6
Heated,Heated_3_A,3,A,2,A5,A,5,0,1,6
Heated,Heated_3_B,3,B,2,A5,A,5,0,1,6
Ambient,Ambient_2_C,2,C,2,A6,A,6,0,1,8
Ambient,Ambient_2_D,2,D,2,A6,A,6,0,1,8
Ambient,Ambient_3_C,3,C,2,A6,A,6,0,1,8
Ambient,Ambient_3_D,3,D,2,A6,A,6,0,1,8
Ambient,Ambient_4_C,4,C,2,A6,A,6,0,1,8
Ambient,Ambient_4_D,4,D,2,A6,A,6,0,1,8
Ambient,Ambient_5_C,5,C,2,A6,A,6,0,1,8
Ambient,Ambient_5_D,5,D,2,A6,A,6,0,1,8
Heated,Heated_1_C,1,C,2,A6,A,6,0,1,6
Heated,Heated_2_C,2,C,2,A6,A,6,0,1,6
Heated,Heated_2_D,2,D,2,A6,A,6,0,1,6
Heated,Heated_3_C,3,C,2,A6,A,6,0,1,6
Heated,Heated_3_D,3,D,2,A6,A,6,0,1,6
Heated,Heated_5_D,5,D,2,A6,A,6,0,1,6
Ambient,Ambient_2_E,2,E,2,B1,B,1,0,1,4
Ambient,Ambient_3_E,3,E,2,B1,B,1,0,1,4
Ambient,Ambient_3_F,3,F,2,B1,B,1,0,1,4
Ambient,Ambient_5_F,5,F,2,B1,B,1,0,1,4
Heated,Heated_1_E,1,E,2,B1,B,1,0,1,7
Heated,Heated_1_F,1,F,2,B1,B,1,0,1,7
Heated,Heated_2_E,2,E,2,B1,B,1,0,1,7
Heated,Heated_2_F,2,F,2,B1,B,1,0,1,7
Heated,Heated_3_F,3,F,2,B1,B,1,0,1,7
Heated,Heated_5_E,5,E,2,B1,B,1,0,1,7
Heated,Heated_5_F,5,F,2,B1,B,1,0,1,7
Ambient,Ambient_2_C,2,C,3,B4,B,4,0,1,7
Ambient,Ambient_2_D,2,D,3,B4,B,4,0,1,7
Ambient,Ambient_3_C,3,C,3,B4,B,4,0,1,7
Ambient,Ambient_4_C,4,C,3,B4,B,4,0,1,7
Ambient,Ambient_4_D,4,D,3,B4,B,4,0,1,7
Ambient,Ambient_5_C,5,C,3,B4,B,4,0,1,7
Ambient,Ambient_5_D,5,D,3,B4,B,4,0,1,7
Heated,Heated_1_C,1,C,3,B4,B,4,0,1,8
Heated,Heated_1_D,1,D,3,B4,B,4,0,1,8
Heated,Heated_2_C,2,C,3,B4,B,4,0,1,8
Heated,Heated_2_D,2,D,3,B4,B,4,0,1,8
Heated,Heated_3_C,3,C,3,B4,B,4,0,1,8
Heated,Heated_3_D,3,D,3,B4,B,4,0,1,8
Heated,Heated_5_C,5,C,3,B4,B,4,0,1,8
Heated,Heated_5_D,5,D,3,B4,B,4,0,1,8
Ambient,Ambient_2_A,2,A,4,C1,C,1,0,1,7
Ambient,Ambient_2_B,2,B,4,C1,C,1,0,1,7
Ambient,Ambient_3_A,3,A,4,C1,C,1,0,1,7
Ambient,Ambient_3_B,3,B,4,C1,C,1,0,1,7
Ambient,Ambient_4_A,4,A,4,C1,C,1,0,1,7
Ambient,Ambient_5_A,5,A,4,C1,C,1,0,1,7
Ambient,Ambient_5_B,5,B,4,C1,C,1,0,1,7
Heated,Heated_1_A,1,A,4,C1,C,1,0,1,7
Heated,Heated_1_B,1,B,4,C1,C,1,0,1,7
Heated,Heated_2_A,2,A,4,C1,C,1,0,1,7
Heated,Heated_2_B,2,B,4,C1,C,1,0,1,7
Heated,Heated_3_A,3,A,4,C1,C,1,0,1,7
Heated,Heated_3_B,3,B,4,C1,C,1,0,1,7
Heated,Heated_5_A,5,A,4,C1,C,1,0,1,7
Ambient,Ambient_2_C,2,C,4,C2,C,2,0,1,6
Ambient,Ambient_2_D,2,D,4,C2,C,2,0,1,6
Ambient,Ambient_3_C,3,C,4,C2,C,2,0,1,6
Ambient,Ambient_3_D,3,D,4,C2,C,2,0,1,6
Ambient,Ambient_4_C,4,C,4,C2,C,2,0,1,6
Ambient,Ambient_4_D,4,D,4,C2,C,2,0,1,6
Heated,Heated_1_C,1,C,4,C2,C,2,0,1,6
Heated,Heated_1_D,1,D,4,C2,C,2,0,1,6
Heated,Heated_2_D,2,D,4,C2,C,2,0,1,6
Heated,Heated_3_C,3,C,4,C2,C,2,0,1,6
Heated,Heated_3_D,3,D,4,C2,C,2,0,1,6
Heated,Heated_5_D,5,D,4,C2,C,2,0,1,6
Ambient,Ambient_2_E,2,E,4,C3,C,3,0,1,7
